"","recipient_city","Primary_Type","Payment","date","year","Number_of_Payments","Payment_Form","Payment_Nature","Third_Party_Payment"
"4107","ABERDEEN","Doctor of Osteopathy",3118,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4120","SIOUX FALLS","Medical Doctor",1650,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4138","ABERDEEN","Doctor of Osteopathy",1888,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4178","SIOUX FALLS","Medical Doctor",4375,2018-03-15,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"4183","ABERDEEN","Doctor of Osteopathy",2017.81,2018-03-15,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"4191","DAKOTA DUNES","Medical Doctor",1000,2018-03-15,"2018",1,"In-kind items and services","Education","No Third Party Payment"
"4193","SIOUX FALLS","Medical Doctor",2150,2018-03-15,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4196","Harrisburg","Doctor of Dentistry",1136,2018-03-15,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"4240","ABERDEEN","Doctor of Osteopathy",3938,2018-03-16,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4243","SIOUX FALLS","Medical Doctor",4000,2018-03-16,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"4301","PIERRE","Medical Doctor",2700,2018-03-19,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4336","RAPID CITY","Medical Doctor",1184,2018-03-19,"2018",1,"In-kind items and services","Gift","No Third Party Payment"
"4368","Sioux Falls","Medical Doctor",4000,2018-03-20,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"4417","Sioux Falls","Medical Doctor",35000,2018-03-20,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"4481","RAPID CITY","Medical Doctor",1057.92,2018-03-21,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"4490","SIOUX FALLS","Medical Doctor",2100,2018-03-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4524","RAPID CITY","Medical Doctor",1600,2018-03-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4525","RAPID CITY","Medical Doctor",2400,2018-03-21,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4579","SIOUX FALLS","Medical Doctor",2700,2018-03-22,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"4628","Sioux Falls","Medical Doctor",2400,2018-03-22,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4631","SIOUX FALLS","Medical Doctor",2100,2018-03-22,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4632","Sioux Falls","Medical Doctor",2400,2018-03-22,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4633","SIOUX FALLS","Medical Doctor",2150,2018-03-22,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4704","SIOUX FALLS","Medical Doctor",6600,2018-03-24,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4730","SIOUX FALLS","Doctor of Osteopathy",3315,2018-03-26,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4764","SIOUX FALLS","Medical Doctor",1500,2018-03-26,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4786","SIOUX FALLS","Medical Doctor",1800,2018-03-26,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4814","SIOUX FALLS","Medical Doctor",3000,2018-03-27,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4835","Watertown","Medical Doctor",2000,2018-03-27,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4842","SIOUX FALLS","Medical Doctor",3750,2018-03-27,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4908","SIOUX FALLS","Doctor of Optometry",2900,2018-03-28,"2018",1,"Cash or cash equivalent","Compensation for serving as faculty or as a speaker for a non-accredited and noncertified continuing education program","No Third Party Payment"
"4935","SIOUX FALLS","Medical Doctor",1600,2018-03-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4967","WATERTOWN","Medical Doctor",3750,2018-03-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"4976","SIOUX FALLS","Medical Doctor",3000,2018-03-28,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5004","SIOUX FALLS","Medical Doctor",1170,2018-03-29,"2018",1,"Cash or cash equivalent","Travel and Lodging","No Third Party Payment"
"5043","RAPID CITY","Medical Doctor",1027,2018-03-29,"2018",1,"In-kind items and services","Gift","No Third Party Payment"
"5067","JEFFERSON","Doctor of Dentistry",1500,2018-03-30,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5068","DAKOTA DUNES","Medical Doctor",25000,2018-03-30,"2018",1,"Cash or cash equivalent","Royalty or License","No Third Party Payment"
"5131","SIOUX FALLS","Medical Doctor",2800,2018-04-02,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5147","NORTH SIOUX CITY","Medical Doctor",3000,2018-04-02,"2018",1,"Cash or cash equivalent","Consulting Fee","No Third Party Payment"
"5165","SIOUX FALLS","Medical Doctor",3500,2018-04-03,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5192","SIOUX FALLS","Medical Doctor",2350,2018-04-03,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5222","SIOUX FALLS","Medical Doctor",1090,2018-04-04,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"5241","WATERTOWN","Medical Doctor",3750,2018-04-04,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5283","SIOUX FALLS","Medical Doctor",3690,2018-04-04,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5311","SIOUX FALLS","Medical Doctor",1856.77,2018-04-05,"2018",1,"In-kind items and services","Travel and Lodging","No Third Party Payment"
"5323","SIOUX FALLS","Medical Doctor",2920,2018-04-05,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5444","SIOUX FALLS","Medical Doctor",1800,2018-04-06,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5473","SIOUX FALLS","Medical Doctor",1800,2018-04-06,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
"5477","SIOUX FALLS","Medical Doctor",1125,2018-04-06,"2018",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","No Third Party Payment"
